Time (min),Abs
0.000833333,0.484850287
0.0025,0.483492702
0.004166667,0.484051377
0.005833334,0.486119241
0.0075,0.488284558
0.009166667,0.488520414
0.010833334,0.486897737
0.0125,0.479428411
0.014166667,0.474515617
0.015833333,0.475132376
0.0175,0.483234227
0.019166667,0.479987323
0.020833334,0.476335287
0.022500001,0.475006849
0.024166666,0.474947542
0.025833333,0.468838453
0.0275,0.460438818
0.029166667,0.4635984
0.030833334,0.456868678
0.032499999,0.445612788
0.034166668,0.442000479
0.035833336,0.444540411
0.037500001,0.441089243
0.039166667,0.44689709
0.040833335,0.428928405
0.0425,0.435717344
0.044166669,0.436361343
0.045833334,0.426794082
0.047499999,0.429405719
0.049166668,0.427473962
0.050833333,0.42367819
0.052500002,0.421854615
0.054166667,0.416942835
0.055833332,0.413809151
0.057500001,0.406454146
0.059166666,0.407129735
0.060833335,0.404233277
0.0625,0.40489471
0.064166665,0.397124261
0.065833338,0.385610372
0.067500003,0.38882634
0.069166668,0.3876248
0.07083334,0.389808297
0.072500005,0.385942996
0.07416667,0.382321984
0.075833336,0.377722502
0.077500001,0.374791205
0.079166673,0.372586191
0.080833338,0.375150114
0.082500003,0.371483982
0.084166668,0.366032153
0.085833333,0.366039902
0.087500006,0.365383416
0.089166671,0.357571662
0.090833336,0.358533949
0.092500001,0.360743612
0.094166666,0.35204646
0.095833339,0.347899616
0.097500004,0.341389835
0.099166669,0.34185636
0.100833334,0.345301151
0.102499999,0.338428021
0.104166672,0.337340176
0.105833337,0.332787782
0.107500002,0.335121304
0.109166667,0.333660573
0.110833332,0.330305457
0.112500005,0.331175953
0.11416667,0.326413184
0.115833335,0.321059942
0.1175,0.322362214
0.119166665,0.320042431
0.120833337,0.313984841
0.122500002,0.31522271
0.124166668,0.308861107
0.125833333,0.305813611
0.127499998,0.306689054
0.129166678,0.292896986
0.130833343,0.300673753
0.132500008,0.300029248
0.134166673,0.30153808
0.135833338,0.289337695
0.137500003,0.288155139
0.139166668,0.285892367
0.140833348,0.287272275
0.142499998,0.289125025
0.144166678,0.285657853
0.145833328,0.283668578
0.147500008,0.286991775
0.149166673,0.279118866
0.150833339,0.279219806
0.152500004,0.273141295
0.154166669,0.27264452
0.155833334,0.27475962
0.157500014,0.268814564
0.159166664,0.272823513
0.160833344,0.267104983
0.162499994,0.263253868
0.164166674,0.266426891
0.165833339,0.258774877
0.167500004,0.261632741
0.169166669,0.261638224
0.170833334,0.258272141
0.172499999,0.253483206
0.174166679,0.250787228
0.17583333,0.252521277
0.17750001,0.243941814
0.17916666,0.247195885
0.18083334,0.244568571
0.182500005,0.240368813
0.18416667,0.23892203
