wav,int
5.944500E+02,-5.149918E-03
5.949321E+02,-3.954251E-03
5.954142E+02,-2.808189E-03
5.958963E+02,-1.779887E-03
5.963784E+02,-9.238539E-04
5.968605E+02,-2.763162E-04
5.973427E+02,1.406436E-04
5.978248E+02,3.190986E-04
5.983069E+02,2.620036E-04
5.987890E+02,-1.722936E-05
5.992711E+02,-4.891804E-04
5.997532E+02,-1.107550E-03
6.002354E+02,-1.802226E-03
6.007175E+02,-2.487854E-03
6.011996E+02,-3.085226E-03
6.016817E+02,-3.533053E-03
6.021638E+02,-3.811663E-03
6.026459E+02,-3.945517E-03
6.031281E+02,-3.996933E-03
6.036102E+02,-4.040989E-03
6.040923E+02,-4.137359E-03
6.045744E+02,-4.316256E-03
6.050565E+02,-4.566529E-03
6.055386E+02,-4.847623E-03
6.060208E+02,-5.106367E-03
6.065029E+02,-5.302607E-03
6.069850E+02,-5.420459E-03
6.074671E+02,-5.471340E-03
6.079492E+02,-5.484264E-03
6.084313E+02,-5.495813E-03
6.089135E+02,-5.541680E-03
6.093956E+02,-5.650702E-03
6.098777E+02,-5.847285E-03
6.103598E+02,-6.153262E-03
6.108419E+02,-6.581033E-03
6.113240E+02,-7.125448E-03
6.118062E+02,-7.749451E-03
6.122883E+02,-8.386632E-03
6.127704E+02,-8.941156E-03
6.132525E+02,-9.312748E-03
6.137346E+02,-9.430457E-03
6.142167E+02,-9.266402E-03
6.146989E+02,-8.849872E-03
6.151810E+02,-8.252093E-03
6.156631E+02,-7.571083E-03
6.161452E+02,-6.898104E-03
6.166273E+02,-6.291980E-03
6.171094E+02,-5.773822E-03
6.175916E+02,-5.326435E-03
6.180737E+02,-4.914232E-03
6.185558E+02,-4.498162E-03
6.190379E+02,-4.054481E-03
6.195200E+02,-3.577353E-03
6.200021E+02,-3.079797E-03
6.204843E+02,-2.585689E-03
6.209664E+02,-2.128080E-03
6.214485E+02,-1.749626E-03
6.219306E+02,-1.493959E-03
6.224127E+02,-1.399115E-03
6.228948E+02,-1.485572E-03
6.233770E+02,-1.742861E-03
6.238591E+02,-2.123925E-03
6.243412E+02,-2.549160E-03
6.248233E+02,-2.935046E-03
6.253054E+02,-3.212857E-03
6.257875E+02,-3.355641E-03
6.262697E+02,-3.384738E-03
6.267518E+02,-3.359554E-03
6.272339E+02,-3.351794E-03
6.277160E+02,-3.411236E-03
6.281981E+02,-3.551063E-03
6.286802E+02,-3.742980E-03
6.291624E+02,-3.937932E-03
6.296445E+02,-4.086945E-03
6.301266E+02,-4.167191E-03
6.306087E+02,-4.189014E-03
6.310908E+02,-4.187045E-03
6.315729E+02,-4.198859E-03
6.320551E+02,-4.241287E-03
6.325372E+02,-4.301723E-03
6.330193E+02,-4.340499E-03
6.335014E+02,-4.310056E-03
6.339835E+02,-4.172278E-03
