200.00	0.189
201.00	-2.055
202.00	-0.232
203.00	-0.533
204.00	-0.607
205.00	0.400
206.00	0.111
207.00	0.587
208.00	0.414
209.00	1.068
210.00	-1.458
211.00	-0.020
212.00	0.241
213.00	0.285
214.00	0.755
215.00	0.276
216.00	-1.056
217.00	0.204
218.00	0.772
219.00	0.019
220.00	-0.069
221.00	0.016
222.00	-0.865
223.00	-0.205
224.00	0.075
225.00	0.276
226.00	0.019
227.00	0.174
228.00	-0.141
229.00	-0.117
230.00	0.060
231.00	0.049
232.00	0.193
233.00	0.142
234.00	-0.459
235.00	1.233
236.00	-0.261
237.00	0.135
238.00	0.310
239.00	0.284
240.00	0.489
241.00	0.010
242.00	0.119
243.00	0.000
244.00	0.108
245.00	0.143
246.00	0.399
247.00	0.308
248.00	-0.169
249.00	0.390
250.00	2.441
251.00	0.832
252.00	-0.000
253.00	0.137
254.00	0.265
255.00	1.080
256.00	0.346
257.00	0.221
258.00	0.446
259.00	0.270
260.00	0.151
261.00	0.012
262.00	0.108
263.00	0.152
264.00	0.348
265.00	0.265
266.00	0.226
267.00	0.477
268.00	0.773
269.00	0.705
270.00	1.276
271.00	1.172
272.00	0.908
273.00	-0.000
274.00	1.195
275.00	1.141
276.00	1.297
277.00	1.490
278.00	1.866
279.00	1.413
280.00	1.362
281.00	1.747
282.00	1.511
283.00	1.324
284.00	1.760
285.00	1.367
286.00	1.318
287.00	1.665
288.00	1.532
289.00	1.466
290.00	2.302
291.00	1.602
292.00	1.739
293.00	1.627
294.00	1.557
295.00	1.668
296.00	1.631
297.00	1.638
298.00	1.817
299.00	1.683
300.00	1.447
301.00	1.568
302.00	1.565
303.00	1.617
304.00	1.730
305.00	1.668
306.00	1.730
307.00	1.854
308.00	1.584
309.00	1.535
310.00	1.458
311.00	1.308
312.00	1.178
313.00	0.953
314.00	0.803
315.00	0.659
316.00	0.518
317.00	0.414
318.00	0.333
319.00	0.266
320.00	0.211
321.00	0.167
322.00	0.135
323.00	0.099
324.00	0.078
325.00	0.059
326.00	0.054
327.00	0.029
328.00	0.028
329.00	0.007
330.00	0.010
331.00	0.000
332.00	0.001
333.00	-0.004
334.00	-0.009
