sample2,,
Wavelength (nm),Abs,
700,-0.3466899693,
699.9799805,-0.4184016883,
699.960022,-0.4560063481,
699.9400024,-0.4602288902,
699.9199829,-0.4616025686,
699.9000244,-0.4310827255,
699.8800049,-0.4060411155,
699.8599854,-0.414257586,
699.8400269,-0.436789304,
699.8200073,-0.451317966,
699.7999878,-0.4478583634,
699.7800293,-0.4317293465,
699.7600098,-0.4190912545,
699.7399902,-0.4287468791,
699.7199707,-0.4487245977,
699.7000122,-0.4511674345,
699.6799927,-0.4605163932,
699.6599731,-0.465051055,
699.6400146,-0.4625616074,
699.6199951,-0.4584972262,
699.5999756,-0.4570527077,
699.5800171,-0.4586737156,
699.5599976,-0.4599959254,
699.539978,-0.4675113857,
699.5200195,-0.4787045419,
699.5,-0.4776987135,
699.4799805,-0.4707040489,
699.460022,-0.4735672474,
699.4400024,-0.4744818807,
699.4199829,-0.4754486084,
699.4000244,-0.4798394442,
699.3800049,-0.4835178554,
699.3599854,-0.480799973,
699.3400269,-0.480386883,
699.3200073,-0.4862896502,
699.2999878,-0.4883474112,
699.2800293,-0.4830376506,
699.2600098,-0.4776118398,
699.2399902,-0.4715971053,
699.2199707,-0.4743356109,
699.2000122,-0.4692293704,
699.1799927,-0.4744959772,
699.1599731,-0.4697368741,
699.1400146,-0.4634443223,
699.1199951,-0.4601730108,
699.0999756,-0.4539714754,
699.0800171,-0.4450079203,
699.0599976,-0.4693676233,
699.039978,-0.4899917841,
699.0200195,-0.446301192,
699,-0.4348853528,
698.9799805,-0.4256468415,
698.960022,-0.4282589257,
698.9400024,-0.4341558218,
698.9199829,-0.4381155968,
698.9000244,-0.4436205029,
698.8800049,-0.453638196,
698.8599854,-0.5028316379,
698.8400269,-0.499902159,
698.8200073,-0.4439025521,
698.7999878,-0.5121367574,
698.7800293,-0.5592392683,
698.7600098,-0.5507930517,
698.7399902,-0.5445970297,
698.7199707,-0.5153888464,
698.7000122,-0.533203423,
698.6799927,-0.53865242,
698.6599731,-0.4545698166,
698.6400146,-0.3916356862,
698.6199951,-0.4331026971,
698.5999756,-0.4453587532,
698.5800171,-0.4589683115,
698.5599976,-0.4715642333,
698.539978,-0.482832849,
698.5200195,-0.4548021555,
698.5,-0.5252853632,
698.4799805,-0.5435875654,
698.460022,-0.0292580761,
698.4400024,0.01506670658,
698.4199829,0.01552173682,
698.4000244,0.01548037026,
698.3800049,0.01531287841,
698.3599854,0.01543326769,
698.3400269,0.01532920916,
698.3200073,0.01516799442,
698.2999878,0.01551162265,
698.2800293,0.01552082505,
698.2600098,0.0155540118,
698.2399902,0.01539561059,
698.2199707,0.01492383331,
698.2000122,0.0153340362,
698.1799927,0.01565219462,
698.1599731,0.0153398281,
698.1400146,0.01565544121,
698.1199951,0.01550757233,
698.0999756,0.01556216832,
698.0800171,0.01570758596,
698.0599976,0.0158685986,
698.039978,0.0154734496,
698.0200195,0.01556104142,
698,0.01615826599,
697.9799805,0.01574301533,
697.960022,0.0155435754,
697.9400024,0.0159205012,
697.9199829,0.01577474363,
697.9000244,0.01587909646,
697.8800049,0.01578932069,
697.8599854,0.01572232135,
697.8400269,0.0159167964,
697.8200073,0.01617997512,
697.7999878,0.01575093344,
697.7800293,0.01599166729,
697.7600098,0.01595441811,
697.7399902,0.01624731161,
697.7199707,0.01619698294,
697.7000122,0.01600267738,
697.6799927,0.01602053829,
697.6599731,0.01611278206,
697.6400146,0.01606013067,
697.6199951,0.01601054706,
697.5999756,0.01601038687,
697.5800171,0.01621307805,
697.5599976,0.01618271507,
697.539978,0.01639408991,
697.5200195,0.01623484306,
697.5,0.01618233882,
697.4799805,0.0159167964,
697.460022,0.016105555,
697.4400024,0.01606558263,
697.4199829,0.01646627299,
697.4000244,0.0163335558,
697.3800049,0.01623538136,
697.3599854,0.01623989455,
697.3400269,0.01633957587,
697.3200073,0.01656888239,
697.2999878,0.01653521508,
697.2800293,0.01650302857,
697.2600098,0.01665102132,
697.2399902,0.01635761186,
697.2199707,0.01660906151,
697.2000122,0.01640398242,
697.1799927,0.01642301492,
697.1599731,0.01647976972,
697.1400146,0.0164676439,
697.1199951,0.01645067893,
697.0999756,0.01640064828,
697.0800171,0.01652951352,
697.0599976,0.01654430293,
697.039978,0.01666941866,
697.0200195,0.01682543382,
697,0.01664190181,
696.9799805,0.01660026796,
696.960022,0.01676836424,
696.9400024,0.01654957421,
696.9199829,0.01683084294,
696.9000244,0.01689101383,
696.8800049,0.01672609895,
696.8599854,0.01692936756,
696.8400269,0.01669158414,
696.8200073,0.01651389152,
696.7999878,0.01678421162,
696.7800293,0.01704363525,
696.7600098,0.01674627513,
696.7399902,0.01707990095,
696.7199707,0.0169559326,
696.7000122,0.01700134389,
696.6799927,0.01681859978,
696.6599731,0.01692826301,
696.6400146,0.01714985631,
696.6199951,0.01704619266,
696.5999756,0.01676231064,
696.5800171,0.01708095148,
696.5599976,0.01712177135,
696.539978,0.01715071872,
696.5200195,0.01732269116,
696.5,0.01740462147,
696.4799805,0.01706695184,
696.460022,0.017506456,
696.4400024,0.01728128828,
696.4199829,0.01741046831,
696.4000244,0.01720912941,
696.3800049,0.01760796458,
696.3599854,0.01694901474,
696.3400269,0.01745813712,
696.3200073,0.01759109087,
696.2999878,0.01745193824,
696.2800293,0.01763096079,
696.2600098,0.0174302198,
696.2399902,0.01746705733,
696.2199707,0.01771308295,
696.2000122,0.01739791222,
696.1799927,0.01776307635,
696.1599731,0.01765247434,
696.1400146,0.01762478612,
696.1199951,0.01768665947,
696.0999756,0.01759866439,
696.0800171,0.01761265658,
696.0599976,0.01745611615,
696.039978,0.01789720356,
696.0200195,0.01774058677,
696,0.01796089485,
695.9799805,0.01775005274,
695.960022,0.01771774888,
695.9400024,0.01811451465,
695.9199829,0.01770825684,
695.9000244,0.01779568009,
695.8800049,0.01788190752,
695.8599854,0.01791058294,
695.8400269,0.01783074252,
695.8200073,0.01799853332,
695.7999878,0.01794813387,
695.7800293,0.0181675218,
695.7600098,0.01797907986,
695.7399902,0.01797395386,
695.7199707,0.01788965054,
695.7000122,0.01814657822,
695.6799927,0.01800500788,
695.6599731,0.01811491884,
695.6400146,0.0178937763,
695.6199951,0.01817103103,
695.5999756,0.01823398098,
