sample4,,
Wavelength (nm),Abs,
616.7000122,0.084055632,
616.5499878,0.084421732,
616.4000244,0.084787942,
616.25,0.085224167,
616.0999756,0.085324563,
615.9500122,0.085413702,
615.7999878,0.085323207,
615.6500244,0.085356765,
615.5,0.085272394,
615.3499756,0.084917665,
615.2000122,0.084741972,
615.0499878,0.084226213,
614.9000244,0.083736837,
614.75,0.083325818,
614.5999756,0.08294595,
614.4500122,0.082813926,
614.2999878,0.082444772,
614.1500244,0.082467966,
614,0.08229354,
613.8499756,0.082440674,
613.7000122,0.082457423,
613.5499878,0.082923174,
613.4000244,0.083096407,
613.25,0.083715148,
613.0999756,0.08427339,
612.9500122,0.084925726,
612.7999878,0.085557386,
612.6500244,0.086033799,
612.5,0.08671537,
612.3499756,0.086988471,
612.2000122,0.08734075,
612.0499878,0.087498754,
611.9000244,0.087639965,
611.75,0.087658808,
611.5999756,0.087587133,
611.4500122,0.087394528,
611.2999878,0.086892404,
611.1500244,0.086544439,
611,0.086057968,
610.8499756,0.085723452,
610.7000122,0.085087575,
610.5499878,0.084734358,
610.4000244,0.084272064,
610.25,0.084144235,
610.0999756,0.08398477,
609.9500122,0.084030382,
609.7999878,0.084132887,
609.6500244,0.084201075,
609.5,0.08458358,
609.3499756,0.085161552,
609.2000122,0.085667066,
609.0499878,0.086473994,
608.9000244,0.087313242,
608.75,0.088080615,
608.5999756,0.088791579,
608.4500122,0.089208603,
608.2999878,0.089590296,
608.1500244,0.089875914,
608,0.090132698,
607.8499756,0.090495951,
607.7000122,0.090179972,
607.5499878,0.090177201,
607.4000244,0.089713126,
607.25,0.089271963,
607.0999756,0.088631004,
606.9500122,0.088018477,
606.7999878,0.087561168,
606.6500244,0.086799636,
606.5,0.08665175,
606.3499756,0.086152025,
606.2000122,0.086044751,
606.0499878,0.086013004,
605.9000244,0.085848123,
605.75,0.086165696,
605.5999756,0.086545706,
605.4500122,0.087141827,
605.2999878,0.087778658,
605.1500244,0.088603802,
605,0.089619949,
604.8499756,0.09055797,
604.7000122,0.091195039,
604.5499878,0.091777466,
604.4000244,0.092475295,
604.25,0.092949636,
604.0999756,0.093143575,
603.9500122,0.093302645,
603.7999878,0.093210682,
603.6500244,0.09315031,
603.5,0.092832908,
603.3499756,0.092119984,
603.2000122,0.091361322,
603.0499878,0.090644933,
602.9000244,0.09014149,
602.75,0.089448072,
602.5999756,0.088882543,
602.4500122,0.088455074,
602.2999878,0.088410363,
602.1500244,0.088122785,
602,0.088409342,
601.8499756,0.088619195,
601.7000122,0.089189753,
601.5499878,0.089717999,
601.4000244,0.090499587,
601.25,0.091537289,
601.0999756,0.092600353,
600.9500122,0.093661331,
600.7999878,0.09441331,
600.6500244,0.095241271,
600.5,0.095798589,
600.3499756,0.096308507,
600.2000122,0.096653521,
600.0499878,0.096771218,
599.9000244,0.096613489,
599.75,0.096297883,
599.5999756,0.095812567,
599.4500122,0.09505713,
599.2999878,0.094315492,
599.1500244,0.093450665,
599,0.092586957,
598.8499756,0.091924489,
598.7000122,0.091474138,
598.5499878,0.091350622,
598.4000244,0.090983972,
598.25,0.091011263,
598.0999756,0.091293789,
597.9500122,0.091649227,
597.7999878,0.092313766,
597.6500244,0.093360059,
597.5,0.094430365,
597.3499756,0.095564179,
597.2000122,0.096636578,
597.0499878,0.097826466,
596.9000244,0.098556593,
596.75,0.099505961,
596.5999756,0.099951491,
596.4500122,0.100191966,
596.2999878,0.100371227,
596.1500244,0.100393139,
596,0.100041762,
595.8499756,0.099530146,
595.7000122,0.098880477,
595.5499878,0.097854346,
595.4000244,0.096874319,
595.25,0.096097365,
595.0999756,0.095402017,
594.9500122,0.094651967,
594.7999878,0.094342314,
594.6500244,0.094239235,
594.5,0.094300792,
594.3499756,0.094518401,
594.2000122,0.095288694,
594.0499878,0.095939077,
593.9000244,0.09687946,
593.75,0.098377891,
593.5999756,0.099613883,
593.4500122,0.100944541,
593.2999878,0.10190098,
593.1500244,0.10283716,
593,0.103646718,
592.8499756,0.104203515,
592.7000122,0.104464203,
592.5499878,0.104690686,
592.4000244,0.104494266,
592.25,0.103932917,
